3.336	-4.06E-13	6.31E-05	-8.93E-05	-5.47E-04	1.14E-04
3.338	-4.13E-13	6.39E-05	-9.04E-05	-5.54E-04	1.15E-04
3.34	-4.18E-13	6.46E-05	-9.13E-05	-5.59E-04	1.16E-04
3.342	-4.22E-13	6.50E-05	-9.19E-05	-5.63E-04	1.17E-04
3.344	-4.25E-13	6.52E-05	-9.22E-05	-5.65E-04	1.17E-04
3.346	-4.26E-13	6.52E-05	-9.21E-05	-5.65E-04	1.17E-04
3.348	-4.25E-13	6.49E-05	-9.18E-05	-5.62E-04	1.17E-04
3.35	-4.23E-13	6.44E-05	-9.10E-05	-5.58E-04	1.16E-04
3.352	-4.19E-13	6.36E-05	-8.99E-05	-5.51E-04	1.15E-04
3.354	-4.13E-13	6.25E-05	-8.84E-05	-5.42E-04	1.13E-04
3.356	-4.06E-13	6.12E-05	-8.65E-05	-5.30E-04	1.10E-04
3.358	-3.96E-13	5.95E-05	-8.42E-05	-5.16E-04	1.07E-04
3.36	-3.84E-13	5.76E-05	-8.15E-05	-4.99E-04	1.04E-04
3.362	-3.70E-13	5.54E-05	-7.83E-05	-4.80E-04	9.98E-05
3.364	-3.54E-13	5.29E-05	-7.48E-05	-4.58E-04	9.53E-05
3.366	-3.36E-13	5.01E-05	-7.08E-05	-4.34E-04	9.02E-05
3.368	-3.16E-13	4.70E-05	-6.65E-05	-4.07E-04	8.47E-05
3.37	-2.94E-13	4.37E-05	-6.17E-05	-3.78E-04	7.86E-05
3.372	-2.70E-13	4.00E-05	-5.66E-05	-3.47E-04	7.21E-05
3.374	-2.44E-13	3.62E-05	-5.11E-05	-3.13E-04	6.51E-05
3.376	-2.17E-13	3.20E-05	-4.53E-05	-2.78E-04	5.77E-05
3.378	-1.87E-13	2.77E-05	-3.92E-05	-2.40E-04	4.99E-05
3.38	-1.57E-13	2.32E-05	-3.28E-05	-2.01E-04	4.18E-05
3.382	-1.25E-13	1.85E-05	-2.62E-05	-1.61E-04	3.33E-05
3.384	-9.17E-14	1.37E-05	-1.94E-05	-1.19E-04	2.47E-05
3.386	-5.77E-14	8.82E-06	-1.25E-05	-7.65E-05	1.58E-05
3.388	-2.31E-14	3.85E-06	-5.44E-06	-3.34E-05	6.84E-06
3.39	1.19E-14	-1.16E-06	1.64E-06	1.00E-05	-2.18E-06
3.392	4.70E-14	-6.15E-06	8.70E-06	5.33E-05	-1.12E-05
3.394	8.19E-14	-1.11E-05	1.57E-05	9.62E-05	-2.01E-05
3.396	1.16E-13	-1.60E-05	2.26E-05	1.38E-04	-2.88E-05
3.398	1.50E-13	-2.07E-05	2.92E-05	1.79E-04	-3.73E-05
3.4	1.82E-13	-2.52E-05	3.56E-05	2.18E-04	-4.55E-05
3.402	2.13E-13	-2.95E-05	4.17E-05	2.56E-04	-5.33E-05
3.404	2.43E-13	-3.36E-05	4.75E-05	2.91E-04	-6.06E-05
3.406	2.70E-13	-3.73E-05	5.27E-05	3.23E-04	-6.73E-05
3.408	2.95E-13	-4.07E-05	5.75E-05	3.52E-04	-7.34E-05
3.41	3.17E-13	-4.37E-05	6.18E-05	3.78E-04	-7.87E-05
3.412	3.35E-13	-4.62E-05	6.54E-05	4.01E-04	-8.34E-05
3.414	3.51E-13	-4.83E-05	6.83E-05	4.19E-04	-8.71E-05
3.416	3.63E-13	-4.99E-05	7.06E-05	4.33E-04	-9.00E-05
3.418	3.72E-13	-5.10E-05	7.22E-05	4.42E-04	-9.20E-05
3.42	3.76E-13	-5.16E-05	7.29E-05	4.47E-04	-9.30E-05
3.422	3.77E-13	-5.16E-05	7.30E-05	4.47E-04	-9.30E-05
3.424	3.73E-13	-5.10E-05	7.22E-05	4.42E-04	-9.20E-05
3.426	3.66E-13	-4.99E-05	7.06E-05	4.32E-04	-8.99E-05
3.428	3.54E-13	-4.82E-05	6.82E-05	4.18E-04	-8.69E-05
